index,raw_symbol,bin,degray,bits
0,324,325,390,110000110
1,87,88,111,001101111
2,279,280,495,111101111
3,359,360,432,110110000
4,55,56,47,000101111
5,97,98,67,001000011
6,43,44,55,000110111
7,70,71,122,001111010
8,158,159,234,011101010
9,47,48,32,000100000
10,66,67,125,001111101
11,67,68,120,001111000
12,62,63,42,000101010
13,376,377,430,110101110
14,219,220,151,010010111
15,211,212,152,010011000
16,508,509,342,101010110
17,511,0,0,000000000
18,253,254,171,010101011
19,382,383,426,110101010
20,447,448,383,101111111
21,478,479,362,101101010
22,493,494,331,101001011
23,501,502,347,101011011
